mean_deviation,mean_speed,mean_latacc,episode_reward
1.3454412382011736,3.25616550197158,3.016932989008223,136.29073657156545
1.3486171576336408,3.2614368068972728,3.093746102004424,123.4782797390676
1.345352454853628,3.255738948814127,3.0135436932617785,135.58096726339488
1.3455541327082599,3.2624938144090483,3.092252868033993,127.39011105932855
1.3455541327082599,3.2624938144090483,3.092252868033993,127.39011105932855
1.3422033563387907,3.2536418464225236,3.1280069591353565,125.63581441501543
1.3493146054169733,3.2549397680830423,3.028458533105791,136.1025315175247
1.3418295702106016,3.2522559064513197,3.1728756146912898,124.4350125624535
1.3441393335912792,3.2575247080424004,3.0862926724522213,128.60568969764967
1.3534420956256972,3.2576718449027764,3.115021360734499,127.92848888022075
